,食品,家庭食品,在外饮食,能源,能源商品,燃油和其他燃料,发动机燃料（汽油）,能源服务,电力,公用管道燃气服务,核心商品（不含食品和能源类）,服饰,新车,二手汽车和卡车,机动车部件和设备,医疗用品,酒精饮料,核心服务（不含能源）,住所,房租,水、下水道和垃圾回收,家庭运营,医疗服务,运输服务,家具和其他家用产品,交通工具（不含汽车燃料）
2010,13.742,7.816,5.926,9.079,5.388,0.309,5.079,3.691,2.823,0.869,20.882,0.192,3.513,2.055,0.408,1.633,1.051,56.297,31.955,5.925,1.095,0.772,4.994,6.140,3.636,6.384
2011,14.308,8.638,5.669,9.679,5.806,0.343,5.463,3.873,2.913,0.960,19.852,0.201,3.195,1.913,0.438,1.716,0.948,56.161,31.539,6.485,1.156,0.727,5.345,5.797,3.384,5.984
2012,14.312,8.598,5.713,9.561,5.795,0.332,5.462,3.767,2.850,0.917,19.574,0.200,3.189,1.844,0.434,1.714,0.949,56.553,31.681,6.545,1.201,0.730,5.448,5.848,3.310,5.901
2013,13.891,8.187,5.704,9.046,5.340,0.275,5.065,3.705,2.872,0.834,19.710,0.136,3.559,1.673,0.441,1.704,1.010,57.353,32.029,6.977,1.177,0.831,5.847,5.571,3.431,6.113
2014,14.257,8.427,5.830,8.030,4.215,0.236,3.979,3.815,2.940,0.875,19.408,0.135,3.551,1.591,0.435,1.772,1.015,58.305,32.711,7.159,1.222,0.848,5.944,5.625,3.342,6.012
2015,14.015,8.230,5.785,6.816,3.228,0.180,3.048,3.588,2.833,0.755,19.613,0.157,3.742,2.101,0.396,1.806,0.958,59.556,33.150,7.733,1.157,0.849,6.569,5.876,3.312,6.635
2016,13.698,7.899,5.799,7.039,3.447,0.190,3.257,3.592,2.794,0.798,19.101,0.150,3.678,1.986,0.384,1.852,0.952,60.162,33.652,7.875,1.172,0.856,6.687,5.920,3.172,6.432
2017,13.384,7.382,6.002,7.513,4.094,0.186,3.908,3.419,2.628,0.791,19.849,0.134,3.805,2.402,0.382,1.748,0.974,59.254,32.843,7.823,1.074,0.852,6.924,5.926,3.398,6.971
2018,13.341,7.286,6.055,7.347,3.947,0.185,3.762,3.400,2.607,0.794,19.503,0.138,3.724,2.391,0.383,1.707,0.973,59.809,33.259,7.943,1.101,0.893,6.974,5.975,3.364,6.881
2019,13.771,7.579,6.191,6.706,3.610,0.170,3.440,3.096,2.405,0.691,20.137,0.133,3.734,2.533,0.397,1.643,1.023,59.387,33.158,7.792,1.083,0.875,7.190,5.399,3.725,7.061
2020,14.119,7.772,6.347,6.155,3.020,0.145,2.875,3.135,2.425,0.710,20.200,2.663,3.756,2.750,0.393,1.580,1.038,59.526,33.316,7.862,1.107,0.899,7.289,5.142,3.784,7.292
2021,13.370,8.165,5.205,7.348,4.014,0.192,3.822,3.334,2.454,0.879,21.699,2.458,4.105,4.143,0.423,1.524,0.889,57.583,32.946,7.398,1.111,0.844,6.962,5.599,3.936,9.094
2022,13.531,8.728,4.803,6.921,3.490,0.215,3.275,3.431,2.541,0.890,21.361,2.479,4.313,2.668,0.491,1.455,0.845,58.187,34.413,7.528,1.056,0.872,6.653,5.750,4.397,7.963
2023,13.555,8.167,5.388,6.655,3.539,0.167,3.372,3.116,2.428,0.688,18.891,2.512,3.684,2.012,0.469,1.489,0.854,60.899,36.191,7.671,1.086,0.983,6.515,6.294,3.524,6.634
2024,13.691,8.043,5.648,6.216,3.122,0.139,2.983,3.094,2.343,0.750,19.388,2.480,4.393,2.391,0.362,1.527,0.835,60.705,35.483,7.499,1.079,1.030,6.747,6.305,3.376,7.508
